id,roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
6746,2016,16,Matthew,Glass,Freshman,Midfielder,6'1,165,Sacramento,CA,Jesuit,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2016-17/bios/glass_matt_6ex7,Y,
6747,2017,16,Matthew,Glass,Sophomore,Midfielder,6'1,165,Sacramento,CA,Jesuit,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2017-18/bios/glass_matthew_ffb0,Y,
6748,2018,16,Matthew,Glass,Junior,Midfielder,6'1,165,Sacramento,CA,Jesuit,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2018-19/bios/glass_matthew_zomr,N,
6749,2015,31,Matthew,Glick,Freshman,Defender,5'11,155,Santa Monica,CA,Harvard Westlake,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=7012,,
6750,2016,31,Matthew,Glick,Sophomore,Defender,5'11,165,Santa Monica,CA,Harvard Westlake,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=7861,,
6751,2017,31,Matthew,Glick,Junior,Defender,5'11,165,Santa Monica,CA,Harvard Westlake,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=8648,,
6752,2018,31,Matthew,Glick,Senior,Defender,5'11,165,Santa Monica,CA,Harvard Westlake,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=9175,N,
6753,2014,6,Matthew,Ledder,Freshman,Midfielder,5'8,143,Falls Church,VA,Gonzaga,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4281,,
6754,2015,6,Matthew,Ledder,Sophomore,Midfielder,5'8,143,Falls Church,VA,Gonzaga,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4257,N,
6755,2016,11,Matthew,Ledder,Junior,Midfielder,5'9,156,Falls Church,VA,Gonzaga,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4236,Y,
6756,2017,7,Matthew,Ledder,Senior,Midfielder,5'9,156,Falls Church,VA,Gonzaga,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=4204,N,
6757,2018,7,Matthew,Ledder,Graduate,Midfielder,5'9,156,Falls Church,VA,Gonzaga,,Georgetown University,BIG EAST,http://georgetown.sidearmsports.com/roster.aspx?rp_id=8680,Y,
6758,2014,30,Matthew,Mangini,Freshman,Midfielder,6'0,170,Warren,NJ,Pingry,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=9764,N,
6759,2015,30,Matthew,Mangini,Sophomore,Midfielder,6'0,170,Warren,NJ,Pingry,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=9815,N,
6760,2016,22,Matthew,Mangini,Junior,Midfielder,6'0,175,Warren,NJ,Pingry,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=10436,Y,
6761,2017,22,Matthew,Mangini,Senior,Midfielder,6'0,175,Warren,NJ,Pingry,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=11673,Y,
6762,2017,27,Matthew,Massaad,Freshman,Forward,6'2,180,La Jolla,CA,The Bishop's School,,Yale University,IVY,http://www.yalebulldogs.com/sports/m-soccer/2017-18/bios/schipper_kees_6r0g,,
